time,theta,alpha,theta_dot,alpha_dot,control,stage_cost,calc_time
0.0,0.0,3.141592653589793,0.0,0.0,3.68950944454047,218.62250247662368,25.95971741700123
0.025,0.01747521297365057,3.1317565768285016,1.393193072252356,-0.78151407526047,3.184856772323468,217.22433977246328,8.65252163400146
0.05,0.06697193918285486,3.1042888166834173,2.560057041065872,-1.4051350001675216,4.9976413312128845,225.4597079060819,8.641483141000208
0.07500000000000001,0.15365928745258503,3.057331429350054,4.362686676851402,-2.333787318977793,5.401247324361285,229.14054512500448,8.644297573000586
0.1,0.28624544883576164,2.987566444702656,6.22493106391438,-3.2240325909513485,2.4060767633556726,219.45445562110342,8.63450390700018
0.125,0.4498910947867377,2.90519109732535,6.8514514643791165,-3.343310340700567,0.5376131028878987,217.2235015542743,8.662329472999772
0.15000000000000002,0.6195971602911401,2.826215059440948,6.718666965963901,-2.9556837441694217,0.946258808944485,216.63367302203892,8.63778303700019
0.17500000000000002,0.7874265960892615,2.7572791147580746,6.703889694130384,-2.543794103999638,0.054445874537304484,215.0199581555166,8.635406467001303
0.2,0.9508087822263387,2.7017815277981008,6.3690610794462374,-1.8841852485336466,-1.3554379010879738,214.42491735200824,8.63296898200133
0.225,1.1000132306875772,2.6667269374332077,5.57457141988516,-0.9111806720893255,-2.3704307272968794,214.84721068883312,8.629661203000069
0.25,1.2255530671566923,2.6587904281221757,4.475230504090262,0.28230763656580715,2.613722723574166,214.59166322478967,8.643851569999242
0.275,1.345282351022223,2.67011260454653,5.1055609738080765,0.6150832805019337,0.29102950824054075,211.68256582064114,8.635587099999611
0.30000000000000004,1.4710023053362116,2.694219424665946,4.9551373859910885,1.3079103986946476,0.06440823489897274,212.11724187204686,8.632371899000645
0.325,1.5922035442160094,2.735650845017655,4.743750538514676,1.9977996040319934,-3.755420815171748,219.88108397224246,8.655936163999286
0.35000000000000003,1.6913756739393695,2.8025865200040725,3.1864682113521905,3.3544475509987706,-1.1745721576274808,213.9293815017601,8.633295870000438
0.375,1.7630943134523276,2.8965724050372454,2.5542252143228428,4.142851323805919,-2.8894393985927946,217.1985486051126,8.636459503999504
0.4,1.811364346055039,3.0128330459641885,1.3139353905331153,5.128280092277321,-9.033950537775196,252.5205577270218,8.632012444000793
0.42500000000000004,1.800365029833849,3.167353459841112,-2.1664754746226427,7.1793605455739415,-3.5551404412954106,216.24215852455882,8.640361953001047
0.45,1.7314505593020855,3.353448249627655,-3.2918301974754054,7.629169971850989,-8.13008991972692,237.2228041928205,8.624601981999149
0.47500000000000003,1.6182791435220072,3.5559967400112007,-5.665453243019909,8.474527556207246,-3.534619102224686,205.24725519117214,8.616775673999655
0.5,1.4720058052303555,3.762559780281981,-5.999515480733479,7.989925719817941,-1.3386689545667427,192.37941663703276,8.61774940199939
0.525,1.3276749836689525,3.9491861272557287,-5.560202037282208,6.909737380107304,1.2255685493996642,185.45861154827404,8.61503569100023
0.55,1.2020714436148778,4.103329239879899,-4.5284108456517576,5.410820432145925,-1.0637057055010264,180.04597842976588,8.60967732500103
0.5750000000000001,1.0916053999875501,4.22178507147826,-4.3329749612414075,4.054600801350842,0.1870731006914046,176.8860204059908,8.607031163001011
0.6000000000000001,0.9884576364164925,4.304536129375798,-3.9406975252364385,2.560040255632483,-0.7792438482099219,175.94476117888217,8.605106626000634
0.625,0.8905527508396731,4.3502860157494885,-3.903604311863342,1.0969018139353037,-0.631761456234055,175.98223307615126,8.605594544998894
0.65,0.7933379082104407,4.3592056474288166,-3.8785018044523456,-0.3834744968281254,2.2172575228086915,179.34799674088728,8.604859047998616
0.675,0.7058028510521741,4.3292605340352095,-3.121693813334101,-2.0144228592019315,-1.774462743714806,180.14163937988346,8.60863695399894
0.7000000000000001,0.6244680373167024,4.261389706707214,-3.3786878155808995,-3.4057932037835186,-4.831661298951933,193.09397085035818,8.603045484000177
0.7250000000000001,0.5268837953696828,4.162400411671379,-4.428626053753717,-4.48414761094398,-3.9802756629589617,193.44571561989554,8.600795869000649
0.75,0.40582245747663537,4.037992841107747,-5.261921880781308,-5.430784010110906,0.32146728089317866,190.68797487734147,8.597676866000256
0.775,0.2793049058339,3.886812980310149,-4.850488658194233,-6.646571167133233,5.37585876934565,211.0125787615233,8.605431101001159
0.8,0.1839919651164224,3.697569213999132,-2.7282139990980756,-8.510687592700592,1.7929133246321167,206.00757487784756,8.594828358998711
0.8250000000000001,0.1294387830330048,3.468858488023329,-1.6352142830897949,-9.745026055986875,12.928621069409441,296.8840452631782,8.593904085999384
0.8500000000000001,0.15328260959127382,3.1850166092193506,3.524860055730546,-12.902233417635426,10.789290197410606,286.28168221202804,8.600977407000755
0.875,0.2883463295809364,2.837187769974851,7.0257544582843705,-14.702947183371728,6.423864226075609,259.1220292262008,8.602141417000894
0.9,0.4717214839225454,2.4713470214209874,7.471259883092636,-14.40710309601368,8.558728572363693,268.5280130938561,8.591807962999155
0.925,0.6650282158244152,2.119076753797717,7.947983759315502,-13.683006526148095,-3.0870485113861217,217.359493981269,8.585991533000197
0.9500000000000001,0.8323901626083259,1.800346835895234,5.574260186687207,-11.839113132680048,-0.9373857437814428,180.95393090039676,1.348833863999971
0.9750000000000001,0.9560416493023908,1.525263603859102,4.4060469773481525,-10.181786125891794,-4.924913250720696,160.24933456275693,1.3506751709992386
1.0,1.0438280914696587,1.2895467584376077,2.6694058784300103,-8.717785116803887,-9.008164877320526,158.6269970796523,1.3496462580005755
1.0250000000000001,1.0778536985559144,1.0844991081521935,0.05790728098575881,-7.756386153779062,-5.777890320212926,108.80953160955183,1.347855915000764
