pred_horizon,mesh_size,theta_0,alpha_0,theta_dot_0,alpha_dot_0,iteration,theta,alpha,theta_dot,alpha_dot,cost,time
15.0,3.0,0.0,3.141592653589793,0.0,0.0,13.0,-2.275,3.592,-5.43,-3.383,3021.364,7.78454431299906
15.0,3.0,0.0,3.141592653589793,0.0,0.0,14.0,-2.309,3.624,-5.38,-3.425,3019.281,8.383067144999586
15.0,3.0,0.0,3.141592653589793,0.0,0.0,15.0,-2.307,3.657,-5.908,-2.958,3020.061,8.98209810699882
15.0,3.0,0.0,3.141592653589793,0.0,0.0,16.0,-2.353,3.69,-6.102,-2.794,3018.27,9.58094391099985
15.0,3.0,0.0,3.141592653589793,0.0,0.0,17.0,-2.337,3.68,-5.532,-3.228,3017.307,10.178447464999408
15.0,3.0,0.0,3.141592653589793,0.0,0.0,18.0,-2.351,3.681,-5.886,-3.074,3018.267,10.77644738899835
15.0,3.0,0.0,3.141592653589793,0.0,0.0,19.0,-2.353,3.694,-5.943,-2.933,3019.169,11.373852331998933
15.0,3.0,0.0,3.141592653589793,0.0,0.0,20.0,-2.356,3.704,-5.645,-3.106,3018.081,11.972401399998489
15.0,3.0,0.0,3.141592653589793,0.0,0.0,21.0,-2.354,3.684,-5.599,-3.191,3016.83,12.570082271999127
15.0,3.0,0.0,3.141592653589793,0.0,0.0,22.0,-2.341,3.691,-5.745,-3.078,3017.618,13.169084283999837
15.0,3.0,0.0,3.141592653589793,0.0,0.0,23.0,-2.348,3.697,-5.752,-3.065,3017.206,13.767438543000026
15.0,3.0,0.0,3.141592653589793,0.0,0.0,24.0,-2.354,3.691,-5.826,-3.002,3017.335,14.365978261999771
15.0,3.0,0.0,3.141592653589793,0.0,0.0,25.0,-2.349,3.683,-5.732,-3.108,3016.493,14.962197465998543
15.0,3.0,0.0,3.141592653589793,0.0,0.0,26.0,-2.355,3.692,-5.774,-3.043,3016.294,15.562660241999765
15.0,3.0,0.0,3.141592653589793,0.0,0.0,27.0,-2.356,3.692,-5.947,-2.942,3016.719,16.159847758999604
15.0,3.0,0.0,3.141592653589793,0.0,0.0,28.0,-2.356,3.697,-5.898,-2.962,3016.606,16.758361242998944
15.0,3.0,0.0,3.141592653589793,0.0,0.0,29.0,-2.353,3.695,-5.877,-2.979,3016.514,17.357636770999306
15.0,3.0,0.0,3.141592653589793,0.0,0.0,30.0,-2.354,3.702,-5.884,-2.961,3016.372,17.95546661499975
15.0,3.0,0.0,3.141592653589793,0.0,0.0,1.0,-1.031,3.222,-1.788,-2.312,3134.184,0.5993430790003913
15.0,3.0,0.0,3.141592653589793,0.0,0.0,2.0,-1.681,3.354,-3.96,-2.918,3071.094,1.201470171999972
15.0,3.0,0.0,3.141592653589793,0.0,0.0,3.0,-2.249,3.514,-5.986,-3.19,3036.801,1.7994140060000063
15.0,3.0,0.0,3.141592653589793,0.0,0.0,4.0,-2.276,3.484,-4.431,-4.587,3054.167,2.3974938440005644
15.0,3.0,0.0,3.141592653589793,0.0,0.0,5.0,-2.223,3.543,-5.685,-3.18,3041.03,2.994228416000624
15.0,3.0,0.0,3.141592653589793,0.0,0.0,6.0,-2.22,3.553,-5.489,-3.17,3035.5,3.596123006000198
15.0,3.0,0.0,3.141592653589793,0.0,0.0,7.0,-2.344,3.617,-6.138,-2.933,3026.207,4.194311406001361
15.0,3.0,0.0,3.141592653589793,0.0,0.0,8.0,-2.338,3.578,-4.686,-4.092,3031.338,4.7937648560000525
15.0,3.0,0.0,3.141592653589793,0.0,0.0,9.0,-2.281,3.58,-4.682,-4.16,3024.412,5.392020201999912
15.0,3.0,0.0,3.141592653589793,0.0,0.0,10.0,-2.275,3.583,-4.247,-4.325,3022.955,5.989516820000063
15.0,3.0,0.0,3.141592653589793,0.0,0.0,11.0,-2.339,3.59,-4.879,-4.079,3023.906,6.588068903000021
15.0,3.0,0.0,3.141592653589793,0.0,0.0,12.0,-2.356,3.64,-4.929,-3.909,3021.403,7.187274771000375
15.0,3.0,0.0,3.141592653589793,0.0,0.0,13.0,-2.296,3.595,-5.271,-3.621,3024.672,7.784544615000414
15.0,3.0,0.0,3.141592653589793,0.0,0.0,14.0,-2.299,3.601,-5.249,-3.477,3023.022,8.383343677000084
15.0,3.0,0.0,3.141592653589793,0.0,0.0,15.0,-2.343,3.636,-4.717,-3.918,3019.521,8.980235966000691
15.0,3.0,0.0,3.141592653589793,0.0,0.0,16.0,-2.35,3.675,-5.422,-3.356,3020.265,9.581293421000737
15.0,3.0,0.0,3.141592653589793,0.0,0.0,17.0,-2.337,3.642,-5.155,-3.587,3019.159,10.179049080001278
15.0,3.0,0.0,3.141592653589793,0.0,0.0,18.0,-2.343,3.655,-4.787,-3.789,3017.836,10.775932925000234
